ip,msg_count
10.10.2.48,1
10.101.0.10,49
172.20.1.194,4
172.21.205.101,105
172.21.205.104,2
172.24.59.18,1
172.25.15.8,319
172.25.185.132,1
172.25.20.130,186
172.25.30.135,369
172.26.128.200,218
172.26.128.98,1
172.26.192.2,3
172.26.197.117,159
172.26.220.30,22
172.26.220.50,1
172.26.252.2,83
172.27.0.14,27
172.27.0.149,196
172.27.0.37,2
172.27.18.91,16
172.27.18.92,16
172.27.4.19,103
172.27.4.23,30
172.27.4.37,1
172.27.4.46,17
192.168.109.9,1
192.168.109.91,579
192.168.137.14,1
192.168.137.148,15
192.168.163.173,24
192.168.174.31,1
192.168.179.91,8
192.168.182.173,1812
192.168.192.128,2017
192.168.194.128,1
192.168.198.18,25
192.168.240.192,1
192.168.179.92,812
192.168.179.93,84
192.168.179.94,1
192.168.179.95,3
